map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
108,0,231,108042,62743.0,100446.0,0.6246440873703283,0.004136715810399525,14.397791862487793,31.841606267293294,4736.306318759918,15.956175804138184,35.30594113667806,5251.6106724739075,29.121015548706055,62.476799125671384,9294.37464427948,17557.974417310594,8452.025582689406
108,1,231,108043,37700.0,100446.0,0.37532604583557333,0.0024856029525534657,27.041051864624023,47.39702791849772,7063.297936439514,29.97894287109375,52.55620190938314,7832.138404846191,48.8503532409668,89.13288032531739,13282.922155380249,17580.916559133402,8429.083440866598
108,2,231,108044,58734.0,100446.0,0.5847320948569381,0.0038723979791850205,12.690688133239746,27.90189477920532,4146.203147411346,14.05847454071045,30.932519543965658,4596.546284198761,22.193727493286133,51.34066205342611,7627.417727470398,17440.826989405214,8569.173010594786
108,3,231,108045,49546.0,100446.0,0.4932600601318121,0.003266622914780213,18.66169548034668,30.788882904052734,4576.265862464905,20.687562942504883,34.139398206075036,5074.26353931427,32.72209548950195,56.44411824544271,8387.67197227478,17814.559466558807,8195.440533441193
108,4,231,108046,40052.0,100446.0,0.3987416124086574,0.0026406729298586585,22.710920333862305,31.416898854573567,4668.443642616272,25.18039321899414,34.835978266398115,5176.504133224487,38.920806884765625,56.47911626180013,8389.822319030762,18330.665385643922,7679.3346143560775
109,0,232,109042,102954.0,200545.0,0.5133710638510061,0.0033998083698742122,32.616703033447266,53.8591827138265,8006.905828475952,34.08565902709961,56.29023394266764,8368.314275741577,47.99724197387695,79.64985051472982,11831.692510604858,17849.50497630419,8160.49502369581
109,1,232,109043,93615.0,200545.0,0.46680296192874415,0.003091410343898968,46.66686248779297,61.46111165364584,9140.17008972168,48.77412414550781,64.23726404825847,9553.024559020996,75.5326919555664,96.2952658589681,14314.737087249756,18998.032828378284,7011.967171621716
109,2,232,109044,97984.0,200545.0,0.4885885960756937,0.0032356860667264484,33.3571662902832,56.243137969970704,8364.128885269165,34.861061096191406,58.7828057607015,8741.81234741211,52.292877197265625,84.30347546895345,12527.588436126709,17964.816570785722,8045.183429214278
109,3,232,109045,105706.0,200545.0,0.5270936697499314,0.0034906865546353075,31.686080932617188,60.58681521097819,9016.516014099121,33.11314392089844,63.322062708536784,9423.574848175049,54.6984977722168,97.48846654256185,14504.134286880493,18214.3359764379,7795.664023562102
109,4,232,109046,113235.0,200545.0,0.5646363659029145,0.0037393136814762554,25.627277374267578,47.87415782928467,7112.646808624268,26.7784366607666,50.03451136271159,7433.609499931335,38.157894134521484,72.2112956237793,10720.828950881958,17667.117797418592,8342.882202581408
